ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli3,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,39,1,S3,100,Inf,-0.019,-0.258,0.034,-0.147,D123,7.154,6.211,Inf,-0.0565,6.5,6.6825,-0.1385,15,A B D O M E N,{SHIFT}Abdomen{SPACE},1988,123,M A G G O T,{SHIFT}Maggot{SPACE},1403,3,1,1,1618,2709
NetworksDemasking,39,1,S3,229,5,-0.502,-0.482,-0.311,-0.57,D124,8.257,9.084,19.549214,-0.4405,7,8.6705,-0.492,15,L A W S U I T,{SHIFT}Lawsuit{SPACE},1876,124,M A I L B O X,{SHIFT}Mailbox{SPACE},1814,3,1,1,954,530
NetworksDemasking,39,1,S3,112,4,-0.232,-0.746,-0.581,-0.715,D125,9.903,10.978,16.022334,-0.648,5.5,10.4405,-0.489,3,C O N C E R N,{SHIFT}Concern{SPACE},1399,125,M A L E,{SHIFT}Male{SPACE},1140,3,1,1,1239,902
NetworksDemasking,39,1,S3,239,4,-0.382,-0.12,-0.497,-0.103,D126,10.325,8.522,21.090281,-0.3,9,9.4235,-0.251,4,P A Y M E N T,{SHIFT}Payment{SPACE},1584,126,M A N U F A C T U R E,{SHIFT}Manufacture{SPACE},2552,3,1,1,1181,2140
NetworksDemasking,39,1,S3,80,3,-0.195,-0.39,-0.324,-0.467,D127,8.061,8.314,15.317101,-0.3955,5,8.1875,-0.2925,6,F R I E D,{SHIFT}Fried{SPACE},1283,127,M A P L E,{SHIFT}Maple{SPACE},1154,3,1,1,2333,1398
NetworksDemasking,39,1,S3,113,3,-0.17,-0.454,-0.331,-0.746,D128,7.75,11.611,9.50484,-0.5385,6.5,9.6805,-0.312,3,A N A T O M Y,{SHIFT}Anatomy{SPACE},3113,128,M A T T E R,{SHIFT}Matter{SPACE},1387,2,1,1,2091,1293
NetworksDemasking,39,1,S3,119,3,-0.531,-0.697,-0.777,-0.747,D129,8.74,9.606,12.124872,-0.762,4,9.173,-0.614,6,C A K E,{SHIFT}cake{SPACE},1176,129,M E A T,{SHIFT}Meat{SPACE},1002,2,1,1,1042,975
NetworksDemasking,39,1,S3,160,5,-0.809,-0.549,-0.689,-0.291,D130,12.565,7.688,21.968075,-0.49,6.5,10.1265,-0.679,15,A N O T H E R,{SHIFT}Another{SPACE},1236,130,M I S T E R,{SHIFT}Mister{SPACE},1243,3,1,1,1151,1626
NetworksDemasking,39,1,S3,191,4,-0.425,-0.673,-0.672,-0.683,D131,10.657,7.491,20.326398,-0.6775,6,9.074,-0.549,3,C E N T R A L,{SHIFT}Central{SPACE},1794,131,M O I S T,{SHIFT}Moist{SPACE},1124,3,1,1,1038,1269
NetworksDemasking,39,1,S3,134,3,-0.709,-0.232,-0.557,-0.048,D132,9.115,6.31,18.43434,-0.3025,6.5,7.7125,-0.4705,1,H O N E Y,{SHIFT}Honey{SPACE},1115,132,M O L A S S E S,{SHIFT}Molasses{SPACE},3721,1,1,1,1276,1573
NetworksDemasking,39,1,S3,142,1,-0.149,-0.275,-0.5,-0.25,D133,8.134,7.221,3.440573,-0.375,6,7.6775,-0.212,1,A T O M,{SHIFT}Atom{SPACE},1545,133,M O L E C U L E,{SHIFT}Molecule{SPACE},1631,1,1,1,527,1364
