ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,204,4,-0.64,-0.698,-0.735,-0.791,C128,11.601,8.109,18.242919,-0.763,4.5,9.855,-0.669,3,A N S W E R,ANSWER{SPACE},1570,128,L I P,LIP{SPACE},1115,2,1,1,1621,1862
NetworksDemasking,38,1,S2,65,3,0.43,-0.263,0.111,-0.306,C129,7.842,9.925,14.986838,-0.0975,9.5,8.8835,0.0835,3,C R I T E R I O N,CRITERION{SPACE},2410,129,L I T E R A T U R E,LITERATURE{SPACE},1881,2,1,1,3357,1993
NetworksDemasking,38,1,S2,172,3,-0.466,-0.677,-0.356,-0.48,C130,9.673,12.521,11.824163,-0.418,4,11.097,-0.5715,6,V I C E,VICE{SPACE},1091,130,L O N G,LONG{SPACE},1742,3,1,1,2617,1580
NetworksDemasking,38,1,S2,169,4,-0.675,-0.646,-0.788,-0.671,C131,10.584,8.639,14.875847,-0.7295,5.5,9.6115,-0.6605,1,C A S H,CASH{SPACE},1540,131,L O T T E R Y,LOTTERY{SPACE},1265,1,1,1,1755,1484
NetworksDemasking,38,1,S2,58,5,-0.781,-0.467,-0.794,-0.445,C132,9.995,7.772,25.210547,-0.6195,4.5,8.8835,-0.624,15,L I E,LIE{SPACE},1002,132,L O U N G E,LOUNGE{SPACE},1356,2,1,1,2309,1483
NetworksDemasking,38,1,S2,189,2,0.011,-0.586,0.004,-0.673,C133,6.945,9.314,9.093716,-0.3345,5.5,8.1295,-0.2875,4,F A M I N E,FAMINE{SPACE},1490,133,L U N C H,LUNCH{SPACE},973,2,1,1,1801,1332
NetworksDemasking,38,1,S2,201,2,-0.474,-0.516,-0.699,-0.692,C134,11.521,8.154,9.725245,-0.6955,4.5,9.8375,-0.495,4,D U E,DUE{SPACE},1395,134,L U X U R Y,LUXURY{SPACE},2161,2,1,1,1751,1617
NetworksDemasking,38,1,S2,226,2,-0.496,-0.258,-0.335,-0.561,C135,10.954,10.991,8.060219,-0.448,7,10.9725,-0.377,1,T H R E A D,THREAD{SPACE},1094,135,M A T E R I A L,MATERIAL{SPACE},1598,2,1,1,1488,1612
NetworksDemasking,38,1,S2,34,6,-0.238,-0.342,-0.256,-0.537,C136,5.953,8.466,27.858177,-0.3965,7,7.2095,-0.29,2,C A S K E T,CASKET{SPACE},1240,136,M E M O R I A L,MEMORIAL{SPACE},2042,2,1,1,2092,1691
NetworksDemasking,38,1,S2,55,3,-0.531,-0.404,-0.623,-0.06,C137,10.802,11.379,10.8668,-0.3415,6.5,11.0905,-0.4675,4,C R E D I T,CREDIT{SPACE},2174,137,M I N I M U M,MINIMUM{SPACE},2691,2,1,1,1865,2420
