ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,2,1,S2,14,4,-0.464,-0.491,-0.534,-0.707,C21,9.06,9.45,15.855025,-0.6205,7.5,9.255,-0.4775,4,G A T H E R I N G,gathering{SPACE},4565,21,B E A U T Y,beauty{SPACE},5459,3,1,1,1071,886
NetworksDemasking,2,1,S2,78,4,-0.378,-0.48,-0.469,-0.308,C22,10.766,10.686,16.735491,-0.3885,8.5,10.726,-0.429,15,E N G I N E E R,engineer{SPACE},2280,22,B E G I N N I N G,beginning{SPACE},2839,3,1,1,1057,1321
NetworksDemasking,2,1,S2,160,1,-0.504,-0.52,-0.687,-0.799,C23,10.782,12.8,5.634206,-0.743,5,11.791,-0.512,1,E X I S T,exist{SPACE},1559,23,B E I N G,being{SPACE},1199,1,1,1,992,898
NetworksDemasking,2,1,S2,103,4,-0.756,-0.569,-0.739,-0.456,C24,10.042,7.262,18.528217,-0.5975,5.5,8.652,-0.6625,2,P O P,pop{SPACE},2227,24,B E V E R A G E,beverage{SPACE},2191,2,1,1,1284,982
NetworksDemasking,2,1,S2,63,3,-0.274,-0.491,-0.234,-0.769,C25,7.568,9.581,14.165587,-0.5015,5,8.5745,-0.3825,6,V I V I D,vivid{SPACE},2758,25,B I R D S,birds{SPACE},1613,3,1,1,1271,1095
NetworksDemasking,2,1,S2,156,4,-0.394,-0.653,-0.377,-0.414,C26,5.694,7.43,18.582524,-0.3955,6,6.562,-0.5235,6,F R I G I D,frigid{SPACE},1910,26,B L O U S E,blouse{SPACE},1457,3,1,1,922,916
NetworksDemasking,2,1,S2,135,3,-0.52,-0.85,-0.521,-0.681,C27,7.198,9.736,13.158164,-0.601,5.5,8.467,-0.685,15,C A R R O T S,carrots{SPACE},1452,27,B L O W,blow{SPACE},1047,3,1,1,928,889
NetworksDemasking,2,1,S2,31,6,-0.282,-0.429,-0.418,-0.306,C28,9.553,4.942,24.723862,-0.362,6,7.2475,-0.3555,3,Y O U T H,youth{SPACE},4038,28,B L U B B E R,blubber{SPACE},9297,3,1,1,906,2399
NetworksDemasking,2,1,S2,99,3,0.64,0.231,0.665,-0.165,C29,4.564,6.789,8.875375,0.25,7.5,5.6765,0.4355,3,B O U I L L O N,boullion{SPACE},3589,29,B O L O G N A,bologna{SPACE},3193,2,1,1,4701,1256
NetworksDemasking,2,1,S2,30,4,-0.403,-0.569,-0.29,-0.707,C30,8.515,8.857,17.743645,-0.4985,5.5,8.686,-0.486,4,R E G R E T,regret{SPACE},2519,30,B O R E D,bored{SPACE},1674,2,1,1,872,943
NetworksDemasking,2,1,S2,194,2,-0.304,-0.718,-0.204,-0.596,C31,6.809,9.833,10.00741,-0.4,4.5,8.321,-0.511,4,S I P,sip{SPACE},1169,31,B O T T L E,bottle{SPACE},1317,2,1,1,2880,536
NetworksDemasking,2,1,S2,218,5,-0.372,0.222,-0.255,0.258,C32,8.509,7.831,22.687647,0.0015,9.5,8.17,-0.075,15,P R O F E S S I O N,profession{SPACE},3912,32,B O U L E V A R D,boulevard{SPACE},2098,4,1,1,892,1249
NetworksDemasking,2,1,S2,225,5,-0.372,-0.648,-0.416,-0.454,C33,7.63,8.725,24.386332,-0.435,6,8.1775,-0.51,6,S U N R I S E,sunrise{SPACE},1492,33,B R A K E,brake{SPACE},1133,3,1,1,1086,912
